"species.correct","N","dbh.crit","p","p.est","str.match"
"Lacistema hasslerianum",2,7,1,"0.5998","early_secondary_small_tree"
"Lacistema lucidum",3,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Lacistema robustum",28,12.5,0.142857142857143,"0.4498","early_secondary_large_tree"
"Lacmellea aculeata",10,NA,NA,"0.3342","unknown_large_tree"
"Lacmellea bahiensis",9,NA,NA,"0.3342","unknown_large_tree"
"Lacmellea pauciflora",1,9,1,"0.2868","climax_small_tree"
"Ladenbergia hexandra",3,20,0.333333333333333,"0.2533","climax_large_tree"
"Lamanonia ternata",47,12.5,0.574468085106383,"0.4498","early_secondary_large_tree"
"Laplacea fruticosa",25,12.5,0.76,"0.4498","early_secondary_large_tree"
"Leandra clidemioides",1,NA,NA,"0.5122","unknown_small_tree"
"Leandra melastomoides",1,7,0,"0.5998","early_secondary_small_tree"
"Leandra variabilis",1,7,1,"0.5998","early_secondary_small_tree"
"Lecythis lanceolata",8,12.5,0.375,"0.4498","early_secondary_large_tree"
"Lecythis lurida",40,15,0.475,"0.3047","late_secondary_large_tree"
"Lecythis pisonis",35,15,0.371428571428571,"0.3047","late_secondary_large_tree"
"Lecythis schwackei",4,NA,NA,"0.3342","unknown_large_tree"
"Licania belemii",21,12.5,0.571428571428571,"0.4498","early_secondary_large_tree"
"Licania canescens",2,NA,NA,"0.3342","unknown_large_tree"
"Licania discolor",2,15,1,"0.3047","late_secondary_large_tree"
"Licania hoehnei",4,15,0.5,"0.3047","late_secondary_large_tree"
"Licania hypoleuca",5,NA,NA,"0.3342","unknown_large_tree"
"Licania kunthiana",2,15,0.5,"0.3047","late_secondary_large_tree"
"Licania lamentanda",5,NA,NA,"0.3342","unknown_large_tree"
"Licania littoralis",55,12.5,0.309090909090909,"0.4498","early_secondary_large_tree"
"Licania micrantha",9,NA,NA,"0.3342","unknown_large_tree"
"Licania naviculistipula",21,NA,NA,"0.3342","unknown_large_tree"
"Licania octandra",2,15,0.5,"0.3047","late_secondary_large_tree"
"Licaria armeniaca",31,15,0.0967741935483871,"0.3047","late_secondary_large_tree"
"Licaria bahiana",24,15,0,"0.3047","late_secondary_large_tree"
"Lonchocarpus cultratus",156,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Luehea cymulosa",5,NA,NA,"0.3342","unknown_large_tree"
"Luehea divaricata",5,12.5,0.8,"0.4498","early_secondary_large_tree"
"Luehea grandiflora",1,10,1,"0.5842","pioneer_large_tree"
"Luetzelburgia guaissara",9,12.5,0.222222222222222,"0.4498","early_secondary_large_tree"
"Lundia cordata",2,NA,NA,NA,"NA_NA"
"Mabea fistulifera",1,10,1,"0.5842","pioneer_large_tree"
"Mabea occidentalis",11,NA,NA,NA,"NA_NA"
"Mabea piriri",60,10,0.183333333333333,"0.5842","pioneer_large_tree"
"Machaerium aculeatum",16,NA,NA,NA,"NA_NA"
"Machaerium brasiliense",18,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Machaerium condensatum",6,NA,NA,"0.5122","unknown_small_tree"
"Machaerium hirtum",6,10,0.5,"0.5842","pioneer_large_tree"
"Machaerium nyctitans",66,12.5,0.424242424242424,"0.4498","early_secondary_large_tree"
"Machaerium salzmannii",5,NA,NA,"0.5122","unknown_small_tree"
"Machaerium stipitatum",564,12.5,0.469858156028369,"0.4498","early_secondary_large_tree"
"Maclura tinctoria",21,12.5,0.619047619047619,"0.4498","early_secondary_large_tree"
"Macoubea guianensis",9,12.5,0.222222222222222,"0.4498","early_secondary_large_tree"
"Macrolobium latifolium",91,15,0.340659340659341,"0.3047","late_secondary_large_tree"
"Macrolobium rigidum",5,NA,NA,"0.3342","unknown_large_tree"
"Macrothumia kuhlmannii",7,20,0,"0.2533","climax_large_tree"
"Magnolia ovata",79,15,0.40506329113924,"0.3047","late_secondary_large_tree"
"Malanea macrophylla",1,NA,NA,NA,"NA_NA"
"Malanea martiana",2,NA,NA,NA,"NA_NA"
"Malouetia cestroides",56,15,0.357142857142857,"0.3047","late_secondary_large_tree"
"Manihot grahamii",14,6,1,"0.7213","pioneer_small_tree"
"Manilkara longifolia",39,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Manilkara maxima",17,15,0.294117647058824,"0.3047","late_secondary_large_tree"
"Manilkara multifida",48,NA,NA,"0.3342","unknown_large_tree"
"Manilkara salzmannii",22,15,0.363636363636364,"0.3047","late_secondary_large_tree"
"Manilkara subsericea",254,15,0.618110236220472,"0.3047","late_secondary_large_tree"
"Mansoa difficilis",1,NA,NA,NA,"NA_NA"
"Maprounea guianensis",37,12.5,0.486486486486487,"0.4498","early_secondary_large_tree"
"Margaritaria nobilis",94,12.5,0.553191489361702,"0.4498","early_secondary_large_tree"
"Marlierea clausseniana",20,15,0.1,"0.3047","late_secondary_large_tree"
"Marlierea eugenioides",3,NA,NA,"0.5122","unknown_small_tree"
"Marlierea excoriata",279,20,0.0931899641577061,"0.2533","climax_large_tree"
"Marlierea obscura",335,8,0.57910447761194,"0.4927","late_secondary_small_tree"
"Marlierea regeliana",16,15,0.125,"0.3047","late_secondary_large_tree"
"Marlierea suaveolens",146,15,0.0273972602739726,"0.3047","late_secondary_large_tree"
"Marlierea verticillaris",4,NA,NA,"0.5122","unknown_small_tree"
"Matayba elaeagnoides",6,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Matayba guianensis",374,12.5,0.56951871657754,"0.4498","early_secondary_large_tree"
"Matayba intermedia",120,12.5,0.616666666666667,"0.4498","early_secondary_large_tree"
"Matayba juglandifolia",302,12.5,0.370860927152318,"0.4498","early_secondary_large_tree"
"Matayba obovata",71,15,0.154929577464789,"0.3047","late_secondary_large_tree"
"Melanoxylon brauna",3,15,1,"0.3047","late_secondary_large_tree"
"Meliosma sellowii",134,15,0.343283582089552,"0.3047","late_secondary_large_tree"
"Meriania claussenii",1,12.5,0,"0.4498","early_secondary_large_tree"
"Meriania tetramera",4,NA,NA,"0.5122","unknown_small_tree"
"Metrodorea nigra",9638,15,0.0591409006017846,"0.3047","late_secondary_large_tree"
"Miconia budlejoides",6,10,0,"0.5842","pioneer_large_tree"
"Miconia cabucu",232,10,0.556034482758621,"0.5842","pioneer_large_tree"
"Miconia calvescens",3,7,0,"0.5998","early_secondary_small_tree"
"Miconia chartacea",4,20,0,"0.2533","climax_large_tree"
"Miconia cinerascens",426,10,0.0845070422535211,"0.5842","pioneer_large_tree"
"Miconia cinnamomifolia",133,10,0.481203007518797,"0.5842","pioneer_large_tree"
"Miconia cubatanensis",296,10,0.0878378378378378,"0.5842","pioneer_large_tree"
"Miconia discolor",1,7,0,"0.5998","early_secondary_small_tree"
"Miconia fasciculata",10,10,0.1,"0.5842","pioneer_large_tree"
"Miconia formosa",2,5,1,"1","unknown_large_shrub"
"Miconia hypoleuca",4,12.5,0,"0.4498","early_secondary_large_tree"
"Miconia lurida",2,NA,NA,"0.5122","unknown_small_tree"
"Miconia minutiflora",3,7,0.666666666666667,"0.5998","early_secondary_small_tree"
"Miconia mirabilis",41,12.5,0.414634146341463,"0.4498","early_secondary_large_tree"
"Miconia octopetala",1,NA,NA,"0.3342","unknown_large_tree"
"Miconia paniculata",1,5,1,"1","pioneer_large_shrub"
"Miconia petropolitana",79,6,0.860759493670886,"0.7213","pioneer_small_tree"
"Miconia prasina",6,6,0.833333333333333,"0.7213","pioneer_small_tree"
"Miconia pusilliflora",77,10,0.233766233766234,"0.5842","pioneer_large_tree"
"Miconia pyrifolia",2,12.5,0,"0.4498","early_secondary_large_tree"
"Miconia sellowiana",7,12.5,0.142857142857143,"0.4498","early_secondary_large_tree"
"Miconia theaezans",1,6,1,"0.7213","pioneer_small_tree"
"Miconia valtheri",12,7,0.583333333333333,"0.5998","early_secondary_small_tree"
"Micrandra elata",1,12.5,1,"0.4498","early_secondary_large_tree"
"Micropholis compta",3,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Micropholis crassipedicellata",295,15,0.589830508474576,"0.3047","late_secondary_large_tree"
"Micropholis gardneriana",13,15,0.307692307692308,"0.3047","late_secondary_large_tree"
"Micropholis guyanensis",22,15,0.409090909090909,"0.3047","late_secondary_large_tree"
"Micropholis venulosa",21,15,0.476190476190476,"0.3047","late_secondary_large_tree"
"Mimosa scabrella",4,10,0,"0.5842","pioneer_large_tree"
"Moldenhawera blanchetiana",8,12.5,0.75,"0.4498","early_secondary_large_tree"
"Mollinedia boracensis",15,8,0.4,"0.4927","late_secondary_small_tree"
"Mollinedia elegans",51,9,0.0588235294117647,"0.2868","climax_small_tree"
"Mollinedia gilgiana",7,NA,NA,"0.3342","unknown_large_tree"
"Mollinedia glabra",3,NA,NA,"0.5122","unknown_small_tree"
"Mollinedia lamprophylla",14,NA,NA,"0.3342","unknown_large_tree"
"Mollinedia oligantha",788,8,0.541878172588833,"0.4927","late_secondary_small_tree"
"Mollinedia ovata",3,8,0.333333333333333,"0.4927","late_secondary_small_tree"
"Mollinedia salicifolia",5,NA,NA,"0.5122","unknown_small_tree"
"Mollinedia schottiana",1107,15,0.0695573622402891,"0.3047","late_secondary_large_tree"
"Mollinedia triflora",4,20,0.25,"0.2533","climax_large_tree"
"Mollinedia uleana",94,15,0.106382978723404,"0.3047","late_secondary_large_tree"
"Mollinedia widgrenii",94,15,0.25531914893617,"0.3047","late_secondary_large_tree"
"Monteverdia aquifolia",19,15,0.315789473684211,"0.3047","late_secondary_large_tree"
"Monteverdia ardisiifolia",6,NA,NA,"0.5122","unknown_small_tree"
"Monteverdia brasiliensis",6,NA,NA,"0.5122","unknown_small_tree"
"Monteverdia distichophylla",25,15,0.32,"0.3047","late_secondary_large_tree"
