"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Accara elegans","Psidium elegans","Psidium elegans","(DC.) O.Berg",NA,NA,NA
"Accara elegans","Psidium elegans var. angustifolium","Psidium elegans",NA,"var.","O.Berg","angustifolium"
"Accara elegans","Psidium elegans var. latifolium","Psidium elegans",NA,"var.","O.Berg","latifolium"
"Achatocarpus hasslerianus",NA,"NA NA",NA,NA,NA,NA
"Achatocarpus praecox","Achatocarpus bicornutus","Achatocarpus bicornutus","Schinz & Autran",NA,NA,NA
"Acnistus arborescens","Solanum congestum","Solanum congestum","Vell.",NA,NA,NA
"Acnistus arborescens","Dunalia arborescens","Dunalia arborescens","(L.) Sleumer",NA,NA,NA
"Acosmium diffusissimum","Sweetia diffusissima","Sweetia diffusissima","Mohlenbr.",NA,NA,NA
"Acosmium lentiscifolium","Acosmium fallax","Acosmium fallax","(Taub.) Yakovlev",NA,NA,NA
"Acosmium lentiscifolium","Sweetia lentiscifolia","Sweetia lentiscifolia","(Schott) Benth.",NA,NA,NA
"Acosmium lentiscifolium","Sweetia fallax","Sweetia fallax","Taub.",NA,NA,NA
"Acritopappus confertus","Decachaeta conferta","Decachaeta conferta","Gardner",NA,NA,NA
"Acritopappus connatifolius","Ageratum connatifolium","Ageratum connatifolium","Soar.Nunes",NA,NA,NA
"Acritopappus heterolepis","Acritopappus hagei","Acritopappus hagei","R.M.King & H.Rob.",NA,NA,NA
"Acritopappus heterolepis","Ageratum heterolepis","Ageratum heterolepis","Baker",NA,NA,NA
"Acrocomia aculeata","Acrocomia antiguana","Acrocomia antiguana","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia antioquiensis","Acrocomia antioquiensis","Posada-Ar.",NA,NA,NA
"Acrocomia aculeata","Acrocomia belizensis","Acrocomia belizensis","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia christopherensis","Acrocomia christopherensis","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia chunta","Acrocomia chunta","Covas & Ragonese",NA,NA,NA
"Acrocomia aculeata","Acrocomia cubensis","Acrocomia cubensis","Lodd. ex H.Wendl.",NA,NA,NA
"Acrocomia aculeata","Acrocomia erioacantha","Acrocomia erioacantha","Barb.Rodr.",NA,NA,NA
"Acrocomia aculeata","Acrocomia fusiformis","Acrocomia fusiformis","(Sw.) Sweet",NA,NA,NA
"Acrocomia aculeata","Acrocomia glaucophylla","Acrocomia glaucophylla","Drude",NA,NA,NA
"Acrocomia aculeata","Acrocomia globosa","Acrocomia globosa","(Gaertn.) Lodd. ex Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia grenadana","Acrocomia grenadana","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia guianensis","Acrocomia guianensis","Lodd. ex G.Don",NA,NA,NA
"Acrocomia aculeata","Acrocomia horrida","Acrocomia horrida","Lodd. ex Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia hospes","Acrocomia hospes","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia ierensis","Acrocomia ierensis","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia karukerana","Acrocomia karukerana","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia lasiospatha","Acrocomia lasiospatha","Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia mexicana","Acrocomia mexicana","Karw. ex Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia microcarpa","Acrocomia microcarpa","Barb.Rodr.",NA,NA,NA
"Acrocomia aculeata","Acrocomia minor","Acrocomia minor","Lodd. ex G.Don",NA,NA,NA
"Acrocomia aculeata","Acrocomia mokayayba","Acrocomia mokayayba","Barb.Rodr.",NA,NA,NA
"Acrocomia aculeata","Acrocomia odorata","Acrocomia odorata","Barb.Rodr.",NA,NA,NA
"Acrocomia aculeata","Acrocomia panamensis","Acrocomia panamensis","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia pilosa","Acrocomia pilosa","León",NA,NA,NA
"Acrocomia aculeata","Acrocomia quisqueyana","Acrocomia quisqueyana","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia sclerocarpa","Acrocomia sclerocarpa","Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia sphaerocarpa","Acrocomia sphaerocarpa","Desf.",NA,NA,NA
"Acrocomia aculeata","Acrocomia spinosa","Acrocomia spinosa","(Mill.) H.E.Moore",NA,NA,NA
"Acrocomia aculeata","Acrocomia subinermis","Acrocomia subinermis","León ex L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia tenuifrons","Acrocomia tenuifrons","Lodd. ex Mart.",NA,NA,NA
"Acrocomia aculeata","Acrocomia ulei","Acrocomia ulei","Dammer",NA,NA,NA
"Acrocomia aculeata","Acrocomia viegasii","Acrocomia viegasii","L.H.Bailey",NA,NA,NA
"Acrocomia aculeata","Acrocomia vinifera","Acrocomia vinifera","Oerst.",NA,NA,NA
"Acrocomia aculeata","Acrocomia wallaceana","Acrocomia wallaceana","(Drude) Becc.",NA,NA,NA
"Acrocomia aculeata","Acrocomia zapotecis","Acrocomia zapotecis","Karw. ex H.Wendl.",NA,NA,NA
"Acrocomia aculeata","Cocos aculeata","Cocos aculeata","Jacq.",NA,NA,NA
"Actinostemon concepcionis","Dactylostemon klotzschii var. concepcionis","Dactylostemon klotzschii",NA,"var.","Chodat & Hassl.","concepcionis"
"Actinostemon concepcionis","Dactylostemon klotzschii var. heterophyllus","Dactylostemon klotzschii",NA,"var.","Müll.Arg.","heterophyllus"
"Actinostemon concolor","Actinostemon macrocarpus","Actinostemon macrocarpus","Müll.Arg.",NA,NA,NA
"Actinostemon concolor","Actinostemon multiflorus","Actinostemon multiflorus","Müll.Arg.",NA,NA,NA
"Actinostemon concolor","Actinostemon oligandrus","Actinostemon oligandrus","(Müll.Arg.) Baill.",NA,NA,NA
"Actinostemon concolor","Actinostemon sparsifolius","Actinostemon sparsifolius","(Müll.Arg.) Pax",NA,NA,NA
"Actinostemon concolor","Actinostemon acuminatus","Actinostemon acuminatus","Baill.",NA,NA,NA
"Actinostemon concolor","Actinostemon angustifolius","Actinostemon angustifolius","(Müll.Arg.) Pax",NA,NA,NA
"Actinostemon concolor","Actinostemon cantagallensis","Actinostemon cantagallensis","Glaz.",NA,NA,NA
"Actinostemon concolor","Actinostemon concolor var. acuminatus","Actinostemon concolor",NA,"var.","(Baill.) Müll.Arg.","acuminatus"
"Actinostemon concolor","Actinostemon concolor var. acutissimus","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","acutissimus"
"Actinostemon concolor","Actinostemon concolor var. angustifolius","Actinostemon concolor",NA,"var.","(Klotzsch ex Regel) Müll.Arg.","angustifolius"
"Actinostemon concolor","Actinostemon concolor var. bicolor","Actinostemon concolor",NA,"var.","Müll.Arg.","bicolor"
"Actinostemon concolor","Actinostemon concolor var. ellipticus","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","ellipticus"
"Actinostemon concolor","Actinostemon concolor var. gardneri","Actinostemon concolor",NA,"var.","(Müll.Arg.) Müll.Arg.","gardneri"
