family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Myrtaceae,Psidium salutare,434,13,14,30,7.752809,occasional,7.748691,occasional,Not endemic
Myrtaceae,Psidium sartorianum,167,11,7,38,19.940476,widespread,19.392523,widespread,Not endemic
Myrtaceae,Psidium schenckianum,57,48,43,25,36.585366,widespread,36.470588,widespread,Not endemic
Myrtaceae,Psidium striatulum,95,3,2,9,9.389671,occasional,9.389671,widespread,Not endemic
Myrtaceae,Psidium ubatubense,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Siphoneugena crassifolia,2,20,4,62,85.314685,widespread,84.210526,widespread,Not endemic
Myrtaceae,Siphoneugena delicata,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Siphoneugena densiflora,135,16,4,55,28.93401,widespread,28.5,widespread,Not endemic
Myrtaceae,Siphoneugena dussii,75,4,2,11,13.483146,widespread,13.483146,widespread,Not endemic
Myrtaceae,Siphoneugena guilfoyleiana,4,0,0,13,100,pure_endemic,76.470588,widespread,Endemic
Myrtaceae,Siphoneugena kiaerskoviana,0,0,0,16,100,pure_endemic,100,pure_endemic,Not endemic
Myrtaceae,Siphoneugena kuhlmannii,0,2,0,17,94.444444,near_endemic,94.444444,near_endemic,Endemic
Myrtaceae,Siphoneugena reitzii,1,0,0,137,99.2,near_endemic,99.275362,near_endemic,Endemic
Nyctaginaceae,Andradea floribunda,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Nyctaginaceae,Bougainvillea glabra,31,2,3,35,50,widespread,53.284672,widespread,Not endemic
Nyctaginaceae,Bougainvillea praecox,7,0,0,5,83.333333,widespread,41.666667,widespread,NA
Nyctaginaceae,Bougainvillea spectabilis,20,11,7,127,90.588235,near_endemic,83.653846,widespread,Not endemic
Nyctaginaceae,Guapira areolata,36,6,3,15,30.097087,widespread,29.72973,widespread,Not endemic
Nyctaginaceae,Guapira campestris,17,6,6,3,21.568627,widespread,23.076923,widespread,Not in the AF
Nyctaginaceae,Guapira graciliflora,145,33,18,50,28.165375,widespread,26.75737,widespread,Not in the AF
Nyctaginaceae,Guapira hirsuta,34,8,12,120,78.367347,widespread,76.829268,widespread,Not endemic
Nyctaginaceae,Guapira laxa,41,9,10,21,42.990654,widespread,36.363636,widespread,Not in the AF
Nyctaginaceae,Guapira nitida,2,0,8,104,97.979798,near_endemic,98.181818,near_endemic,Endemic
Nyctaginaceae,Guapira noxia,160,40,6,18,10.714286,widespread,10.447761,widespread,Not in the AF
Nyctaginaceae,Guapira obtusata,12,12,27,97,86.818182,widespread,85.992218,widespread,Not endemic
Nyctaginaceae,Guapira opposita,126,77,54,1449,90.575916,near_endemic,89.972569,widespread,Not endemic
Nyctaginaceae,Guapira pernambucensis,2,9,1,363,98.372781,near_endemic,98.243243,near_endemic,Endemic
Nyctaginaceae,Guapira tomentosa,12,6,2,10,53.658537,widespread,42.307692,widespread,Not endemic
Nyctaginaceae,Guapira venosa,38,0,1,43,48.965517,widespread,53.374233,widespread,Not endemic
Nyctaginaceae,Neea alumnorum,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Nyctaginaceae,Neea duckei,8,0,0,6,37.5,widespread,42.857143,widespread,Not endemic
Nyctaginaceae,Neea floribunda,80,0,2,20,62.068966,widespread,20.792079,widespread,Not endemic
Nyctaginaceae,Neea hermaphrodita,84,0,4,1,5,occasional,3.448276,occasional,Not endemic
Nyctaginaceae,Neea hirsuta,9,0,0,10,64.285714,widespread,52.631579,widespread,Not endemic
Nyctaginaceae,Neea laxa,24,0,0,7,85.714286,widespread,22.580645,widespread,Not endemic
Nyctaginaceae,Neea macrophylla,84,0,0,6,10,occasional,6.666667,occasional,Not endemic
Nyctaginaceae,Neea madeirana,16,0,0,1,7.692308,occasional,5.882353,occasional,Not in the AF
Nyctaginaceae,Neea oppositifolia,193,0,0,3,9.090909,occasional,1.530612,occasional,Not in the AF
Nyctaginaceae,Neea ovalifolia,89,0,0,1,1.694915,occasional,1.111111,occasional,Not endemic
Nyctaginaceae,Neea parviflora,51,0,0,9,40.909091,widespread,15,widespread,Not in the AF
Nyctaginaceae,Neea pendulina,0,0,0,67,100,pure_endemic,100,pure_endemic,Endemic
Nyctaginaceae,Neea theifera,95,20,4,11,10.497238,widespread,11.016949,widespread,Not in the AF
Nyctaginaceae,Neea verticillata,31,0,0,28,80,widespread,47.457627,widespread,Not endemic
Nyctaginaceae,Pisonia ambigua,8,3,0,56,93.333333,near_endemic,85.496183,widespread,Endemic
Nyctaginaceae,Ramisia brasiliensis,0,0,0,48,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Elvasia capixaba,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Elvasia gigantifolia,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Elvasia kollmannii,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Elvasia tricarpellata,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Luxemburgia mysteriosa,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea bahiensis,0,0,0,27,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea cassinifolia,84,0,1,1,1.449275,occasional,1.754386,occasional,Not in the AF
Ochnaceae,Ouratea castaneifolia,249,20,2,10,4.273504,occasional,4.074074,occasional,Not endemic
Ochnaceae,Ouratea cauliflora,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea cearensis,23,0,0,7,19.047619,widespread,23.333333,widespread,Not endemic
Ochnaceae,Ouratea claudei,2,1,0,1,28.571429,widespread,28.571429,widespread,Not in the AF
Ochnaceae,Ouratea conduplicata,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea crassa,0,0,1,45,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea cuspidata,9,2,4,119,87.878788,widespread,92.366412,near_endemic,Endemic
Ochnaceae,Ouratea fieldingiana,16,4,5,15,88.888889,near_endemic,49.295775,widespread,Endemic
Ochnaceae,Ouratea floribunda,155,24,19,21,14.153846,widespread,15.443038,widespread,Not in the AF
Ochnaceae,Ouratea gigantophylla,2,0,0,19,100,pure_endemic,90.47619,near_endemic,Endemic
Ochnaceae,Ouratea grandiflora,8,0,0,1,11.111111,widespread,11.111111,widespread,Not endemic
Ochnaceae,Ouratea hassleriana,0,1,0,2,80,widespread,80,widespread,Not in the AF
Ochnaceae,Ouratea hexasperma,317,7,9,10,2.808989,occasional,4.328358,occasional,Not in the AF
Ochnaceae,Ouratea miersii,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea multiflora,0,0,0,37,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea nervosa,56,1,1,3,4.237288,occasional,5.833333,occasional,Not in the AF
Ochnaceae,Ouratea oliviformis,1,0,0,31,100,pure_endemic,96.875,near_endemic,Endemic
Ochnaceae,Ouratea papulosa,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea parviflora,5,6,8,207,92.481203,near_endemic,96.347032,near_endemic,Endemic
Ochnaceae,Ouratea parvifolia,62,13,14,20,17.449664,widespread,28.272251,widespread,Not in the AF
Ochnaceae,Ouratea polygyna,0,0,0,11,100,pure_endemic,100,pure_endemic,Not endemic
Ochnaceae,Ouratea pycnostachys,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Ochnaceae,Ouratea ramiflora,1,0,0,1,50,widespread,50,widespread,Not in the AF
Ochnaceae,Ouratea salicifolia,29,9,0,17,25.352113,widespread,33.663366,widespread,Not endemic
Ochnaceae,Ouratea sellowii,0,4,6,24,94.871795,near_endemic,93.103448,near_endemic,Endemic
Ochnaceae,Ouratea semiserrata,10,28,6,38,61.728395,widespread,63.076923,widespread,Not endemic
Ochnaceae,Ouratea spectabilis,90,26,13,11,10.596026,widespread,14.522822,widespread,Not in the AF
Ochnaceae,Ouratea stipulata,1,0,0,26,92.857143,near_endemic,96.296296,near_endemic,Endemic
Ochnaceae,Ouratea suaveolens,0,0,0,7,100,pure_endemic,100,pure_endemic,Not endemic
Ochnaceae,Ouratea subscandens,0,1,0,1,66.666667,widespread,66.666667,widespread,Endemic
Ochnaceae,Ouratea tenuifolia,3,0,0,3,50,widespread,50,widespread,Not in the AF
Ochnaceae,Ouratea vaccinioides,0,0,0,63,100,pure_endemic,100,pure_endemic,Endemic
Olacaceae,Cathedra bahiensis,0,0,0,12,100,pure_endemic,100,pure_endemic,Endemic
Olacaceae,Cathedra grandiflora,1,0,0,3,100,pure_endemic,75,widespread,Endemic
Olacaceae,Cathedra rubricaulis,2,3,0,23,77.777778,widespread,86.792453,widespread,Endemic
Olacaceae,Dulacia papillosa,10,0,0,6,25,widespread,37.5,widespread,Not endemic
Olacaceae,Dulacia pauciflora,4,1,0,5,50,widespread,52.631579,widespread,Not endemic
Olacaceae,Dulacia singularis,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Olacaceae,Heisteria cauliflora,5,0,0,1,33.333333,widespread,16.666667,widespread,Not in the AF
Olacaceae,Heisteria ovata,135,2,1,5,7.777778,occasional,3.886926,occasional,Not endemic
Olacaceae,Heisteria perianthomega,2,2,3,96,100,pure_endemic,97.014925,near_endemic,Not endemic
Olacaceae,Heisteria salicifolia,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Olacaceae,Heisteria silvianii,2,2,0,134,98.275862,near_endemic,97.810219,near_endemic,Not endemic
Olacaceae,Tetrastylidium grandifolium,1,0,0,95,96.551724,near_endemic,98.958333,near_endemic,Endemic
Olacaceae,Ximenia americana,274,18,10,65,37.5,widespread,19.830028,widespread,Not endemic
Oleaceae,Chionanthus crassifolius,7,3,6,7,29.166667,widespread,54.054054,widespread,Not endemic
Oleaceae,Chionanthus ferrugineus,3,0,0,1,25,widespread,25,widespread,Not endemic
Oleaceae,Chionanthus filiformis,0,0,0,83,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus fluminensis,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus greenii,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus micranthus,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus parviflorus,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus subsessilis,0,0,0,5,100,pure_endemic,100,pure_endemic,Not endemic
Oleaceae,Chionanthus tenuis,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Oleaceae,Chionanthus trichotomus,26,7,2,20,33.962264,widespread,41.584158,widespread,Not endemic
Onagraceae,Fuchsia regia,6,4,10,481,98.461538,near_endemic,98.380567,near_endemic,Not endemic
Onagraceae,Ludwigia anastomosans,0,0,0,4,100,pure_endemic,100,pure_endemic,Not in the AF
Onagraceae,Ludwigia elegans,94,59,13,219,64.53125,widespread,64.613181,widespread,Not endemic
Onagraceae,Ludwigia laruotteana,30,4,0,16,31.707317,widespread,33.333333,widespread,Not in the AF
Onagraceae,Ludwigia nervosa,487,29,10,91,15.496809,widespread,16.066946,widespread,Not endemic
Onagraceae,Ludwigia rigida,87,7,5,7,10.43956,widespread,9.5,widespread,Not in the AF
Opiliaceae,Agonandra excelsa,57,6,4,63,51.785714,widespread,52,widespread,Not endemic
Opiliaceae,Agonandra fluminensis,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Pentaphylacaceae,Freziera atlantica,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Pentaphylacaceae,Ternstroemia cuneifolia,1,0,0,7,100,pure_endemic,87.5,widespread,Endemic
Peraceae,Chaetocarpus echinocarpus,70,5,7,19,16.935484,widespread,23.684211,widespread,Not in the AF
Peraceae,Chaetocarpus myrsinites,7,1,10,98,90.37037,near_endemic,93.21267,near_endemic,Not endemic
Peraceae,Pera anisotricha,14,3,0,21,57.534247,widespread,57.534247,widespread,Not endemic
Peraceae,Pera bicolor,123,0,0,1,1.020408,occasional,0.806452,occasional,Not in the AF
Peraceae,Pera furfuracea,1,0,0,60,98.360656,near_endemic,98.360656,near_endemic,Endemic
Peraceae,Pera glabrata,309,58,51,918,73.1782,widespread,73.624659,widespread,Not endemic
Peraceae,Pera heteranthera,8,0,5,124,91.534392,near_endemic,94.052045,near_endemic,Not endemic
Peraceae,Pera membranacea,8,0,0,1,11.111111,widespread,11.111111,widespread,Not in the AF
Peraceae,Pogonophora schomburgkiana,222,18,8,170,27.234043,widespread,42.962963,widespread,Not endemic
Phyllanthaceae,Amanoa guianensis,188,0,0,48,13.157895,widespread,20.338983,widespread,Not endemic
Phyllanthaceae,Astrocasia jacobinensis,22,6,16,31,64.948454,widespread,60.9375,widespread,Not endemic
Phyllanthaceae,Discocarpus essequeboensis,67,0,0,1,1.851852,occasional,1.470588,occasional,Not in the AF
Phyllanthaceae,Discocarpus pedicellatus,0,0,0,21,100,pure_endemic,100,pure_endemic,Endemic
Phyllanthaceae,Gonatogyne brasiliensis,0,0,0,39,100,pure_endemic,100,pure_endemic,Endemic
Phyllanthaceae,Hyeronima alchorneoides,234,11,4,129,23.544974,widespread,35.357625,widespread,Not endemic
Phyllanthaceae,Hyeronima oblonga,348,0,2,62,9.774436,occasional,15.328467,widespread,Not endemic
Phyllanthaceae,Margaritaria nobilis,572,2,1,166,16.763006,widespread,22.515213,widespread,Not endemic
Phyllanthaceae,Phyllanthus acuminatus,243,15,7,41,17.548747,widespread,15.084746,widespread,Not endemic
Phyllanthaceae,Phyllanthus caroliniensis,105,6,3,75,40.15444,widespread,41.463415,widespread,Not endemic
Phyllanthaceae,Phyllanthus chacoensis,11,0,0,4,27.272727,widespread,26.666667,widespread,Not in the AF
Phyllanthaceae,Phyllanthus cladotrichus,0,1,1,19,97.5,near_endemic,97.5,near_endemic,Endemic
Phyllanthaceae,Phyllanthus gradyi,5,0,2,8,54.545455,widespread,64.285714,widespread,Endemic
Phyllanthaceae,Phyllanthus juglandifolius,40,1,0,24,38.095238,widespread,37.209302,widespread,Not endemic
Phyllanthaceae,Phyllanthus riedelianus,1,0,0,14,93.333333,near_endemic,93.333333,near_endemic,Endemic
Phyllanthaceae,Phyllanthus sellowianus,18,1,0,57,66.666667,widespread,75.496689,widespread,Endemic
Phyllanthaceae,Phyllanthus umbratus,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Phyllanthaceae,Richeria grandis,320,24,10,58,11.563169,widespread,15.949367,widespread,Not endemic
Phyllanthaceae,Savia dictyocarpa,9,6,6,53,82.882883,widespread,82.352941,widespread,Not endemic
Phyllanthaceae,Savia sessiliflora,39,1,2,2,8.163265,occasional,7.058824,occasional,Not in the AF
Phytolaccaceae,Gallesia integrifolia,42,3,2,98,100,pure_endemic,69.473684,widespread,Not endemic
Phytolaccaceae,Phytolacca dioica,193,30,6,373,77.456647,widespread,64.383562,widespread,Endemic
Phytolaccaceae,Seguieria aculeata,42,8,3,105,76.923077,widespread,69.836066,widespread,Not endemic
Phytolaccaceae,Seguieria americana,15,2,4,40,71.794872,widespread,72.413793,widespread,Not endemic
Phytolaccaceae,Seguieria langsdorffii,3,2,1,106,93.6,near_endemic,96.38009,near_endemic,Not endemic
Picramniaceae,Picramnia andrade-limae,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Picramniaceae,Picramnia bahiensis,0,2,0,44,97.560976,near_endemic,97.777778,near_endemic,Not endemic
Picramniaceae,Picramnia ciliata,1,0,0,77,98.591549,near_endemic,98.717949,near_endemic,Not endemic
Picramniaceae,Picramnia coccinea,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Picramniaceae,Picramnia elliptica,21,0,0,8,28.571429,widespread,27.586207,widespread,Not endemic
Picramniaceae,Picramnia excelsa,0,0,0,39,100,pure_endemic,100,pure_endemic,Endemic
Picramniaceae,Picramnia gardneri,4,0,0,73,92.982456,near_endemic,94.805195,near_endemic,Endemic
Picramniaceae,Picramnia glazioviana,4,3,6,272,98.181818,near_endemic,98.039216,near_endemic,Endemic
Picramniaceae,Picramnia grandifolia,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Picramniaceae,Picramnia latifolia,217,1,0,1,0.706714,occasional,0.457666,occasional,Not in the AF
Picramniaceae,Picramnia parvifolia,6,9,3,107,91.911765,near_endemic,91.176471,near_endemic,Not endemic
Picramniaceae,Picramnia ramiflora,11,10,1,177,92.786885,near_endemic,91.731266,near_endemic,Not endemic
Picramniaceae,Picramnia sellowii,201,8,2,38,12.128713,widespread,15.983607,widespread,Not endemic
Piperaceae,Piper aduncum,1210,37,14,394,27.276176,widespread,24.608776,widespread,Not endemic
Piperaceae,Piper aequale,406,0,0,9,2.631579,occasional,2.168675,occasional,Not endemic
Piperaceae,Piper amalago,874,36,27,730,47.921307,widespread,45.460104,widespread,Not endemic
Piperaceae,Piper anonifolium,105,0,1,33,21.568627,widespread,24.187726,widespread,Not endemic
Piperaceae,Piper arboreum,948,36,25,928,50.190003,widespread,49.331235,widespread,Not endemic
Piperaceae,Piper bartlingianum,277,0,0,1,0.420168,occasional,0.359712,occasional,Not in the AF
Piperaceae,Piper caldense,33,4,4,418,91.933571,near_endemic,92.307692,near_endemic,Not endemic
Piperaceae,Piper callosum,143,1,0,7,5.577689,occasional,4.651163,occasional,Not endemic
Piperaceae,Piper caracolanum,0,0,0,6,100,pure_endemic,100,pure_endemic,Not endemic
Piperaceae,Piper cernuum,95,11,4,282,73.801917,widespread,73.862159,widespread,Not endemic
Piperaceae,Piper coccoloboides,4,0,0,9,69.230769,widespread,69.230769,widespread,Not endemic
Piperaceae,Piper corcovadensis,18,9,4,224,89.929742,near_endemic,90.945674,near_endemic,Endemic
Piperaceae,Piper crassinervium,304,6,8,227,43.617021,widespread,42.936803,widespread,Not endemic
Piperaceae,Piper curtistilum,12,0,0,1,7.692308,occasional,7.692308,occasional,Not in the AF
Piperaceae,Piper demeraranum,172,0,0,1,0.740741,occasional,0.578035,occasional,Not in the AF
Piperaceae,Piper dilatatum,242,13,2,186,41.558442,widespread,42.93915,widespread,Not endemic
Piperaceae,Piper divaricatum,196,2,1,155,44.267054,widespread,44.113475,widespread,Not endemic
Piperaceae,Piper esperancanum,1,0,0,2,66.666667,widespread,66.666667,widespread,Not in the AF
Piperaceae,Piper gaudichaudianum,62,19,17,763,91.272727,near_endemic,91.518387,near_endemic,Not endemic
Piperaceae,Piper glabratum,38,8,5,158,77.313433,widespread,79.259259,widespread,Not endemic
Piperaceae,Piper hillianum,0,0,0,3,100,pure_endemic,100,pure_endemic,Not endemic
Piperaceae,Piper hispidinervum,17,1,0,3,13.333333,widespread,14.634146,widespread,Not endemic
Piperaceae,Piper hispidum,1000,21,11,445,34.615385,widespread,30.835044,widespread,Not endemic
Piperaceae,Piper hoffmannseggianum,8,0,0,173,95.555556,near_endemic,95.58011,near_endemic,Not endemic
Piperaceae,Piper hostmannianum,351,0,0,1,0.314465,occasional,0.284091,occasional,Not endemic
Piperaceae,Piper itatiaianum,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Piperaceae,Piper lhotzkyanum,18,22,1,149,83.283582,widespread,83.753501,widespread,Not endemic
Piperaceae,Piper loefgrenii,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Piperaceae,Piper macedoi,75,9,15,46,39.312977,widespread,40.225564,widespread,Not endemic
Piperaceae,Piper malacophyllum,13,4,1,125,88.593156,near_endemic,89.323843,widespread,Not endemic
Piperaceae,Piper marginatum,292,0,1,100,29.516995,widespread,25.605096,widespread,Not endemic
Piperaceae,Piper mikanianum,32,10,15,229,84.722222,widespread,86.471664,widespread,Not endemic
Piperaceae,Piper miquelianum,7,8,6,201,94.972067,near_endemic,94.883721,near_endemic,Endemic
Piperaceae,Piper mollicomum,70,14,15,570,88.347965,near_endemic,88.235294,widespread,Not endemic
Piperaceae,Piper obliquum,328,0,0,8,2.076125,occasional,2.380952,occasional,Not endemic
Piperaceae,Piper ovatum,61,11,6,145,69.833729,widespread,68.997669,widespread,Not endemic
Piperaceae,Piper permucronatum,4,0,0,106,96.363636,near_endemic,96.363636,near_endemic,Endemic
Piperaceae,Piper piliovarium,3,0,0,7,70,widespread,70,widespread,Endemic
Piperaceae,Piper pseudoarboreum,13,0,0,4,23.529412,widespread,23.529412,widespread,Not endemic
Piperaceae,Piper pseudopothifolium,0,0,0,58,100,pure_endemic,100,pure_endemic,Endemic
Piperaceae,Piper richardiifolium,3,8,1,95,93.034826,near_endemic,93.170732,near_endemic,Not endemic
Piperaceae,Piper rivinoides,1,0,0,251,99.588477,near_endemic,99.603175,near_endemic,Not endemic
Piperaceae,Piper solmsianum,0,0,3,303,100,pure_endemic,100,pure_endemic,Not endemic
Piperaceae,Piper tectoniifolium,52,4,2,98,65.333333,widespread,64.705882,widespread,Not endemic
Piperaceae,Piper truncatum,0,0,0,94,100,pure_endemic,100,pure_endemic,Endemic
Piperaceae,Piper tuberculatum,506,20,11,86,17.216495,widespread,15.061728,widespread,Not endemic
Piperaceae,Piper xylosteoides,62,17,7,280,77.568493,widespread,80.084746,widespread,Not endemic
Poaceae,Actinocladum verticillatum,72,7,1,4,5.625,occasional,5.625,occasional,Not in the AF
Poaceae,Alvimia auriculata,0,0,1,7,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Alvimia gracilis,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Alvimia lancifolia,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Apoclada simplex,0,0,0,20,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Athroostachys capitata,0,0,0,32,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Aulonemia amplissima,0,0,0,34,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Aulonemia aristulata,10,8,3,66,82.389937,widespread,82.822086,widespread,Not endemic
Poaceae,Aulonemia radiata,1,0,1,39,97.468354,near_endemic,97.530864,near_endemic,Endemic
Poaceae,Aulonemia setigera,0,0,0,14,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Aulonemia setosa,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Chusquea acuminata,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Chusquea anelythra,0,0,1,19,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Chusquea anelytroides,1,1,0,38,96.103896,near_endemic,96.202532,near_endemic,Endemic
Poaceae,Chusquea capitata,0,1,0,55,100,pure_endemic,99.099099,near_endemic,Endemic
Poaceae,Chusquea capituliflora,2,0,1,46,95.833333,near_endemic,95.876289,near_endemic,Endemic
Poaceae,Chusquea juergensii,3,5,0,32,85.333333,widespread,85.333333,widespread,Endemic
Poaceae,Chusquea kleinii,0,0,0,44,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Chusquea leptophylla,5,2,1,59,90.243902,near_endemic,90.839695,near_endemic,Endemic
Poaceae,Chusquea meyeriana,0,3,1,131,99.183673,near_endemic,98.87218,near_endemic,Endemic
Poaceae,Chusquea nudiramea,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Chusquea nutans,5,16,2,13,51.851852,widespread,51.851852,widespread,Not in the AF
Poaceae,Chusquea urelytra,0,0,0,55,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Eremocaulon asymmetricum,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Eremocaulon aureofimbriatum,0,0,0,20,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Eremocaulon capitatum,22,0,0,1,4.347826,occasional,4.347826,occasional,Not in the AF
Poaceae,Guadua calderoniana,0,0,0,15,100,pure_endemic,100,pure_endemic,Not endemic
Poaceae,Guadua chacoensis,46,0,1,38,47.770701,widespread,45.56213,widespread,Endemic
Poaceae,Guadua paniculata,124,2,1,24,16.955017,widespread,16.38796,widespread,Not endemic
Poaceae,Guadua paraguayana,33,0,1,4,12,widespread,12,widespread,Endemic
Poaceae,Guadua refracta,26,0,0,2,7.142857,occasional,7.142857,occasional,Not endemic
Poaceae,Guadua tagoara,3,1,1,79,95.394737,near_endemic,95.783133,near_endemic,Not endemic
Poaceae,Guadua trinii,23,2,1,34,63.809524,widespread,58.974359,widespread,Not endemic
Poaceae,Merostachys argyronema,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys bifurcata,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys ciliata,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys fistulosa,4,1,0,6,57.142857,widespread,57.142857,widespread,Endemic
Poaceae,Merostachys glauca,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys kleinii,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys lanata,0,0,0,13,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys magnispicula,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys multiramea,7,1,1,84,89.43662,near_endemic,91.847826,near_endemic,Endemic
Poaceae,Merostachys pilifera,1,1,0,14,90.322581,near_endemic,90.322581,near_endemic,Endemic
Poaceae,Merostachys ramosissima,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Poaceae,Merostachys riedeliana,2,0,2,21,91.304348,near_endemic,91.666667,near_endemic,Endemic
Poaceae,Merostachys vestita,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Podocarpaceae,Podocarpus lambertii,25,25,2,61,41.666667,widespread,62.311558,widespread,Not endemic
Podocarpaceae,Podocarpus sellowii,19,8,1,59,50,widespread,72.121212,widespread,Not endemic
Polygalaceae,Acanthocladus brasiliensis,4,2,0,64,94.545455,near_endemic,92.753623,near_endemic,Endemic
Polygalaceae,Acanthocladus dichromus,23,1,3,12,29.508197,widespread,36.486486,widespread,Not in the AF
Polygalaceae,Acanthocladus pulcherrimus,0,0,0,23,100,pure_endemic,100,pure_endemic,Endemic
Polygalaceae,Acanthocladus santosii,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Polygalaceae,Asemeia acuminata,55,10,2,18,24.657534,widespread,24.050633,widespread,Not in the AF
Polygalaceae,Bredemeyera brevifolia,46,24,24,11,44.871795,widespread,28.395062,widespread,Not endemic
Polygalaceae,Bredemeyera divaricata,244,0,0,2,0.510204,occasional,0.813008,occasional,Not in the AF
Polygalaceae,Bredemeyera floribunda,262,26,7,30,11.694511,widespread,10.858995,widespread,Not endemic
Polygalaceae,Bredemeyera hebeclada,40,15,15,155,76.578947,widespread,77.380952,widespread,Endemic
Polygalaceae,Bredemeyera laurifolia,59,3,11,61,52.777778,widespread,52.362205,widespread,Not endemic
Polygalaceae,Diclidanthera laurifolia,1,1,0,21,88,widespread,93.333333,near_endemic,Not endemic
Polygonaceae,Coccoloba alnifolia,3,1,5,95,96.022727,near_endemic,96.534653,near_endemic,Not endemic
Polygonaceae,Coccoloba arborescens,4,0,0,89,96.551724,near_endemic,95.698925,near_endemic,Not endemic
Polygonaceae,Coccoloba argentinensis,16,0,0,2,6.25,occasional,11.111111,widespread,Not endemic
Polygonaceae,Coccoloba ascendens,53,0,0,1,2.040816,occasional,1.851852,occasional,Not in the AF
Polygonaceae,Coccoloba brasiliensis,101,41,49,13,23.489933,widespread,23.584906,widespread,Not in the AF
