family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Myrtaceae,Myrcia innovans,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia insigniflora,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia insularis,0,0,0,54,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia isaiana,4,1,0,65,93.333333,near_endemic,93.52518,near_endemic,Endemic
Myrtaceae,Myrcia lacerdaeana,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia lacunosa,0,1,0,3,85.714286,widespread,85.714286,widespread,Endemic
Myrtaceae,Myrcia lajeana,1,1,0,46,96.842105,near_endemic,96.842105,near_endemic,Endemic
Myrtaceae,Myrcia landimiana,0,0,1,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia laruotteana,223,66,14,422,61.972892,widespread,62.627737,widespread,Not endemic
Myrtaceae,Myrcia lascada,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia lasiantha,170,25,2,1,1.126761,occasional,1.084011,occasional,Not endemic
Myrtaceae,Myrcia laxiflora,0,0,0,61,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia lenheirensis,5,1,0,41,88.172043,widespread,88.172043,widespread,Endemic
Myrtaceae,Myrcia linearifolia,99,0,0,1,1.098901,occasional,1,occasional,Not in the AF
Myrtaceae,Myrcia lineata,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia littoralis,0,0,2,77,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia lughadhae,0,2,5,2,81.818182,widespread,81.818182,widespread,Not in the AF
Myrtaceae,Myrcia lutescens,4,1,3,3,50,widespread,50,widespread,Not in the AF
Myrtaceae,Myrcia macrocarpa,0,0,0,17,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia magnifolia,7,0,0,3,30,widespread,30,widespread,Endemic
