"taxon_id","language","name"
"sp264","Portuguese","Pitiá"
"sp267","Portuguese","Peroba-Rosa"
"sp269","Portuguese","Pereiro"
"sp275","Portuguese","Pitiá-Branco"
"sp276","Portuguese","Guatambú Do Cerrado"
"sp276","Portuguese","Pereiro Do Campo"
"sp279","Portuguese","Aroeira-Rajada"
"sp279","Portuguese","Guarubu-Violeta"
"sp279","Portuguese","Itapicuru-Ferreiro"
"sp279","Portuguese","Mucuri"
"sp280","Portuguese","Aroeira-D'água"
"sp280","Portuguese","Brito"
"sp280","Portuguese","Sete Cascas"
"sp280","Portuguese","Ubatan"
"sp281","Portuguese","Gibatão"
"sp282","Portuguese","Aderne"
"sp282","Portuguese","Aroeira"
"sp282","Portuguese","Gibatan"
"sp282","Portuguese","Guarita"
"sp282","Portuguese","Ubatan"
"sp283","Portuguese","Aroeira"
"sp298","Portuguese","Catole"
"sp299","Portuguese","Palmeria"
"sp299","Portuguese","Pindoba-Grauda"
"sp300","Portuguese","Babassu"
"sp300","Portuguese","Indaia"
"sp300","Portuguese","Catolé"
"sp301","Portuguese","Camarinha"
"sp301","Portuguese","Indaiá"
"sp303","Portuguese","Piassava"
"sp305","Portuguese","Palmeira"
"sp305","Portuguese","Palmeira-Pindoba"
"sp306","Portuguese","Aricuri"
"sp306","Portuguese","Bacuri"
"sp306","Portuguese","Uricuri"
"sp306","Portuguese","Uricurí Vermelho"
"sp307","Portuguese","Palmeira"
"sp307","Portuguese","Pindobassu"
"sp317","Portuguese","Tingui"
"sp322","Portuguese","Alecrim Do Campo"
"sp322","Spanish","Romerillo"
"sp324","Portuguese","Alecrim"
"sp324","Portuguese","Alecrim-Do-Mato"
"sp325","Portuguese","Alecrim-Do-Mato"
"sp325","Portuguese","Trupichava"
"sp326","Portuguese","Alecrim"
"sp326","Portuguese","Vassoura"
"sp329","Portuguese","Carqueja"
"sp332","Portuguese","Alecrim"
"sp336","Portuguese","Alecrim"
"sp336","Portuguese","Vassoura"
"sp341","Portuguese","Alecrim-De-Vassoura"
"sp341","Portuguese","Trapichava"
"sp341","Portuguese","Vassoura-Alecrim"
"sp341","Portuguese","Vassoura-Branca"
"sp342","Portuguese","Alecrim"
"sp342","Portuguese","Alecrim-Do-Mato"
"sp344","Portuguese","Alecrim"
"sp344","Portuguese","Vassoura"
"sp345","Portuguese","Alecrim-Das-Pedras"
"sp346","Portuguese","Alecrim"
"sp347","Portuguese","Alecrim"
"sp348","Portuguese","Alecrim-De-Folha-Larga"
"sp348","Portuguese","Vassoura"
"sp349","Portuguese","Arrebentão"
"sp349","Portuguese","Cambará-Cheiroso"
"sp349","Portuguese","Chirca-Do-Mato"
"sp349","Portuguese","Erva-De-Santâ€™Ana"
"sp349","Portuguese","Mata-Pasto"
"sp349","Portuguese","Rebentão"
"sp350","Portuguese","Alecrim"
"sp353","Portuguese","Ourana"
"sp354","Portuguese","Alecrim"
"sp354","Portuguese","Alecrim-Do-Mato"
"sp355","Portuguese","Arnica"
"sp355","Portuguese","Erva-De-Coelho"
"sp355","Portuguese","João-Russo"
"sp355","Portuguese","Vara-De-Visgo"
"sp358","Portuguese","Alecrim"
"sp358","Portuguese","Alecrim-Da-Serra"
"sp358","Portuguese","Vassoura"
"sp358","Portuguese","Vassoura-Lajeana"
"sp359","Portuguese","Vassoura-Da-Praia"
"sp360","Portuguese","Brejaubinha, Marajá, Marajá-Piranga"
"sp362","Portuguese","Brejaúva-Mirim"
"sp364","Portuguese","Baralhá"
"sp364","Portuguese","Tucum"
"sp365","Portuguese","Tucum"
"sp366","Portuguese","Marajá"
"sp366","Portuguese","Marajazinho"
"sp367","Portuguese","Tucunzinho"
"sp368","Portuguese","Tucum"
"sp369","Portuguese","Folha-Miúda"
"sp369","Portuguese","Mucambo"
"sp369","Portuguese","Pau-Marfim"
"sp369","Portuguese","Pereiro-Preto"
"sp370","Portuguese","Embira"
"sp370","Portuguese","Farinha-Seca"
"sp370","Portuguese","Gramixinga"
"sp370","Portuguese","Guamixinga"
"sp370","Portuguese","Guamuxinga"
"sp370","Portuguese","Guarataia"
"sp370","Portuguese","Guataia"
"sp370","Portuguese","Guatambu"
"sp370","Portuguese","Marfim"
"sp370","Portuguese","Pau-Cetim"
"sp370","Portuguese","Pau-Liso"
"sp370","Portuguese","Pau-Marfim"
"sp370","Portuguese","Pequiá-Mamona"
"sp372","Portuguese","Cavaqueiro Do Baixo"
"sp372","South American Indian (Other)","Nibika(C) Turukí"
"sp381","Portuguese","Guarabu"
"sp381","Portuguese","Guarabu Cebola"
"sp381","Portuguese","Guaribeiro"
"sp381","Portuguese","Itapicuru"
"sp382","Portuguese","Jangada-Brava"
"sp383","Portuguese","Pau-De-Colher"
"sp383","Portuguese","Quina-Do-Mato"
"sp383","Portuguese","Fumão"
