"scientificName","UTEndUse.UTEndUseSubfield.UTEndUseName","UTEndUse.UTEndUseSubfield.UTEndUseLookup","UTEndUse.UTEndUseSubfield.international","UTEndUse.UTEndUseSubfield.national","UTEndUse.UTEndUseSubfield.other","UTEndUse.UTEndUseSubfield.subsistence","internal_taxon_id","source.info"
"Brosimum gaudichaudii","Medicine - human & veterinary","3","false","true","","true","sp438","TreeCo_database_v.4.1"
"Brosimum guianense","Construction or structural materials","9","true","true","","true","sp441","TreeCo_database_v.4.1"
"Brosimum guianense","Handicrafts, jewellery, etc.","12","","true","","true","sp441","IUCN_Red_List_v.2022-2"
"Brosimum guianense","Other household goods","11","","true","","true","sp441","IUCN_Red_List_v.2022-2"
"Brosimum parinarioides","Construction or structural materials","9","false","true","","false","sp443","TreeCo_database_v.4.1"
"Brosimum parinarioides","Construction or structural materials","9","false","true","","false","sp443","TreeCo_database_v.4.1"
"Brosimum parinarioides","Construction or structural materials","9","true","false","","false","sp443","TreeCo_database_v.4.1"
"Brosimum parinarioides","Other household goods","11","","","","","sp443","IUCN_Red_List_v.2022-2"
"Brosimum parinarioides","Handicrafts, jewellery, etc.","12","","","","","sp443","IUCN_Red_List_v.2022-2"
"Brosimum parinarioides","Medicine - human & veterinary","3","","","","","sp443","IUCN_Red_List_v.2022-2"
"Brosimum parinarioides","Fibre","8","","","","","sp443","IUCN_Red_List_v.2022-2"
"Brosimum rubescens","Construction or structural materials","9","false","true","","false","sp444","TreeCo_database_v.4.1"
"Brosimum rubescens","Construction or structural materials","9","false","true","","false","sp444","TreeCo_database_v.4.1"
"Brosimum rubescens","Construction or structural materials","9","true","false","","false","sp444","TreeCo_database_v.4.1"
"Brosimum rubescens","Construction or structural materials","9","false","true","","false","sp444","TreeCo_database_v.4.1"
"Brunfelsia pauciflora","Pets/display animals, horticulture","13","false","false","","false","sp451","TreeCo_database_v.4.1"
"Brunfelsia uniflora","Pets/display animals, horticulture","13","false","false","","false","sp453","TreeCo_database_v.4.1"
"Buddleja stachyoides","Pets/display animals, horticulture","13","false","false","","false","sp454","TreeCo_database_v.4.1"
"Bunchosia maritima","Food - human","1","","","","true","sp459","IUCN_Red_List_v.2022-2"
"Butia capitata","Other chemicals","6","false","false","","false","sp463","TreeCo_database_v.4.1"
"Butia capitata","Food - human","1","false","true","","true","sp463","TreeCo_database_v.4.1"
"Butia capitata","Food - human","1","false","false","","true","sp463","TreeCo_database_v.4.1"
"Butia capitata","Pets/display animals, horticulture","13","false","true","","false","sp463","TreeCo_database_v.4.1"
"Butia catarinensis","Fibre","8","false","true","","false","sp464","TreeCo_database_v.4.1"
"Butia catarinensis","Food - human","1","false","true","","true","sp464","TreeCo_database_v.4.1"
