"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName","source.info"
"","","","sp21","Acalypha cucullata Poir.","Poir.","Acalypha cucullata","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha fertilis Standl. & L.O.Williams","Standl. & L.O.Williams","Acalypha fertilis","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha foliosa Rusby","Rusby","Acalypha foliosa","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha heterodonta Müll.Arg.","Müll.Arg.","Acalypha heterodonta","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","hirsuta","sp21","Acalypha heterodonta var. hirsuta Müll.Arg.","","Acalypha heterodonta","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","psilocarpa","sp21","Acalypha heterodonta var. psilocarpa Müll.Arg.","","Acalypha heterodonta","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","psiloclada","sp21","Acalypha heterodonta var. psiloclada Müll.Arg.","","Acalypha heterodonta","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","trichoclada","sp21","Acalypha heterodonta var. trichoclada Müll.Arg.","","Acalypha heterodonta","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha hicksii L.Riley","L.Riley","Acalypha hicksii","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha hirsutissima Willd.","Willd.","Acalypha hirsutissima","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha lehmanniana Pax","Pax","Acalypha lehmanniana","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha macrophylla Kunth","Kunth","Acalypha macrophylla","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp21","Acalypha macrostachya var. genuina Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Willd.) Müll.Arg.","hirsutissima","sp21","Acalypha macrostachya var. hirsutissima (Willd.) Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Kunth) Müll.Arg.","macrophylla","sp21","Acalypha macrostachya var. macrophylla (Kunth) Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","puberula","sp21","Acalypha macrostachya var. puberula Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Kunth) Müll.Arg.","sidaefolia","sp21","Acalypha macrostachya var. sidaefolia (Kunth) Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Poepp.) Müll.Arg.","tristis","sp21","Acalypha macrostachya var. tristis (Poepp.) Müll.Arg.","","Acalypha macrostachya","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha neogranatensis Müll.Arg.","Müll.Arg.","Acalypha neogranatensis","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha obtusifolia Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha obtusifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha piperoides Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha piperoides","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha pittieri Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha pittieri","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha seemannii Klotzsch","Klotzsch","Acalypha seemannii","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha sidaefolia Kunth","Kunth","Acalypha sidaefolia","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha tarapotensis Müll.Arg.","Müll.Arg.","Acalypha tarapotensis","Brazilian_Flora_Online_v.393.285"
