"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
NA,NA,NA,"sp35","Ageratum connatifolium Soar.Nunes","Soar.Nunes","Ageratum connatifolium"
NA,NA,NA,"sp36","Acritopappus hagei R.M.King & H.Rob.","R.M.King & H.Rob.","Acritopappus hagei"
NA,NA,NA,"sp36","Ageratum heterolepis Baker","Baker","Ageratum heterolepis"
NA,NA,NA,"sp38","Acrocomia antiguana L.H.Bailey","L.H.Bailey","Acrocomia antiguana"
NA,NA,NA,"sp38","Acrocomia antioquiensis Posada-Ar.","Posada-Ar.","Acrocomia antioquiensis"
NA,NA,NA,"sp38","Acrocomia belizensis L.H.Bailey","L.H.Bailey","Acrocomia belizensis"
NA,NA,NA,"sp38","Acrocomia christopherensis L.H.Bailey","L.H.Bailey","Acrocomia christopherensis"
NA,NA,NA,"sp38","Acrocomia chunta Covas & Ragonese","Covas & Ragonese","Acrocomia chunta"
NA,NA,NA,"sp38","Acrocomia cubensis Lodd. ex H.Wendl.","Lodd. ex H.Wendl.","Acrocomia cubensis"
NA,NA,NA,"sp38","Acrocomia erioacantha Barb.Rodr.","Barb.Rodr.","Acrocomia erioacantha"
NA,NA,NA,"sp38","Acrocomia fusiformis (Sw.) Sweet","(Sw.) Sweet","Acrocomia fusiformis"
NA,NA,NA,"sp38","Acrocomia glaucophylla Drude","Drude","Acrocomia glaucophylla"
NA,NA,NA,"sp38","Acrocomia globosa (Gaertn.) Lodd. ex Mart.","(Gaertn.) Lodd. ex Mart.","Acrocomia globosa"
NA,NA,NA,"sp38","Acrocomia grenadana L.H.Bailey","L.H.Bailey","Acrocomia grenadana"
NA,NA,NA,"sp38","Acrocomia guianensis Lodd. ex G.Don","Lodd. ex G.Don","Acrocomia guianensis"
NA,NA,NA,"sp38","Acrocomia horrida Lodd. ex Mart.","Lodd. ex Mart.","Acrocomia horrida"
NA,NA,NA,"sp38","Acrocomia hospes L.H.Bailey","L.H.Bailey","Acrocomia hospes"
NA,NA,NA,"sp38","Acrocomia ierensis L.H.Bailey","L.H.Bailey","Acrocomia ierensis"
NA,NA,NA,"sp38","Acrocomia karukerana L.H.Bailey","L.H.Bailey","Acrocomia karukerana"
NA,NA,NA,"sp38","Acrocomia lasiospatha Mart.","Mart.","Acrocomia lasiospatha"
NA,NA,NA,"sp38","Acrocomia mexicana Karw. ex Mart.","Karw. ex Mart.","Acrocomia mexicana"
NA,NA,NA,"sp38","Acrocomia microcarpa Barb.Rodr.","Barb.Rodr.","Acrocomia microcarpa"
NA,NA,NA,"sp38","Acrocomia minor Lodd. ex G.Don","Lodd. ex G.Don","Acrocomia minor"
NA,NA,NA,"sp38","Acrocomia mokayayba Barb.Rodr.","Barb.Rodr.","Acrocomia mokayayba"
NA,NA,NA,"sp38","Acrocomia odorata Barb.Rodr.","Barb.Rodr.","Acrocomia odorata"
NA,NA,NA,"sp38","Acrocomia panamensis L.H.Bailey","L.H.Bailey","Acrocomia panamensis"
NA,NA,NA,"sp38","Acrocomia pilosa León","León","Acrocomia pilosa"
