order,locality1,UC
95,"""""""""Reserva Biologica do Tingua, Estrada do Ouro, Linha 8"""""""" Reserva Biologica do Tingua",PI
96,"""""""""Reserva Biologica, Instituto Venezolano de Investigaciones Cientifica (IVIC), Ramal Interior de la Cordillera de la Costa al NE de Venezuela""""""""",PI
97,"""""""""Reserva Ecologica Alto de San Miguel, parte alta del rio Medellin""""""""",PI
98,"""""""""Reserva Ecologica Mun. de Macae de Cima, Nascente do Rio das FloresCoord. 22º S 42º 03## W""""""""",PI
99,"""""""""Reserva Ecologica Municipal de Macae de Cima, Sitio Fazeda Velha""""""""",PI
100,"""""""""Sao Paulo, nativa no Jardim Botanico""""""""",US
101,"""""""""Sororopantepuy, cerca de la antena, Parque Nacional Canaima""""""""",PI
102,"""""""""Valley of rio Porce, 1-5 km SE of Puente Acacias bridge over rio Porce towards Amalfi""""""""",US
103,"""""""""Vereda Calles, Rio Calles, Parque Nacional Natural """"""""""""""""Las Orquideas"""""""""""""""".""""""""",PI
104,"""""""""Vereda Rio Claro, canon del rio Claro, Reserva Ecologica El Refugio""""""""",PI
105,"""""""""Vereda San Rafael, Reserva Municipal Planes de San Rafael, alrededor del centro de visitantes""""""""",US
106,"(antiga Guanabara), Vista Chinesa, perto da Sede do Horto Florestal",US
107,"(ESPAC), cerca de 16 Km a W de Porto Seguro, Rodovia BR-367 (Porto Seguro/Eunapolis). Estacao Ecologica do Pau Brasil",PI
108,(IBAMA). Entrada no km 46 da Rod. BA 001 Ilheus/Una. Coletas efetuadas a ca. 10 km no ramal de acesso ao Ecoparque de Una. Reserva Biologica do Mico-leao,PI
109,(Lat. 1.4837434; Long.-61.011659) Parque Nacional Virua,PI
110,"(Mun. Espinosa). 7 km E of Monte Azul towards and beyond Vila Angical on road to a small farmhouse, then taking parth to the village of Gerais. Caatinga at foot of SErra Geral, degraded, on stony (sandstone or granitic conglomerate) lateritic soil. 3",US
111,(Parque Estadual) Folha Cartografica SF.23-Y-B,PI
112,"(RPPN ), Complexo Itaparica",US
113,"(RPPN/IBAMA), trilha para a Toca da Aranha. Reserva Ecologica do Rio das Pedras",PI
114,"[Brazil, Bahia:] Municipio de Sta. Cruz de Cabralia, Estacao Ecologica do Pau-Brasil e arredores, cerca de 16 km a W de Porto Seguro, Folha SE-24 (16-39c), Rio de Janeiro: along Rio Ribeirao at base of Pico das Agulhas Negras, [16°22'21<U+2033>S 39°10'41<U+2033>W]",PI
115,"\Bom Fruto\Reserva Extrativista Chico Mendes,km 52 of Brasileia-Assis Brasil road,then 18 km on Ramal (side road) \Tocandeira\.",US
116,"\Bom Futuro\, Reserva Extrativista Chico Mendes, k 52 of Brasileia-Assis Brasil road, 18km on Ramal (side road) \Tocandeira\.",US
117,"\Bom Futuro\, Reserva Extrativista Chico Mendes, km 52 of Brasileia-Assis Brasil road, 18 km on Ramal (side road) \Tocandeira\.",US
118,"\Ponta do Algodao\ (Ponta Lava), Ilha dos Cocos. APA-Cairucu. Area de Protecao Ambiental do Cairucu",APA
119,] Jardim Botanico do Rio de Janeiro,US
120,"0.5 km SE of turnoff (to Pulquina), on SE side of Palizada along highway from San Isidro to Mataral and Mairana. Barren cactus desert; near but apparently not on the peculiar white hills of Miocene San Isidro formation tuffite. Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
121,"0.5 km SE of turnoff (to Pulquina), on SE side of Palizada along highway from San Isidro to Mataral and Mairana. Barren cactus desert; near but apparently not on the peculiar white hills of Miocene San Isidro Formation tuffite. Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
122,"1-2 km SSE of Espejitos. Roadside and pastures, former tropical evergreen forest. Red clay soil on slopes. The plain around Santa Cruz that lies within the """"""""""""""""Flora de la Region del Parque Nacional Amboro""""""""""""""""",PI
123,1-2 KM. DE MEXICAPA POR LA CANADA,APA
124,"1 km al E de Tziscao, Parque Nacional Lagos de Montebello-Santa Elena",PI
125,"1 km from Chulumani, towards Tajina",US
126,1 km from entrance to Museo von Martius towards Rio de Janeiro on RT 116,US
127,"1 km S of Monte Grande, arid slopes. Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
128,"1 km. N of hwy. Mex, 70, on gravel road N towards Est. Mendez, 6.2 km. W of Canoas junction and 12 km. NNW of Panuco. Selva Baja Caducifolia. Brushy roadsides and pasture on level land",US
129,"1° Distrito, mata de encosta da Praia da Lula. APA-CAIRUCU. Area de Protecao Ambiental do Cairucu",APA
130,10-20km from Pomabamba towards Lucma,US
131,"10 km de Crato, Floresta Nacional do Araripe. Solo arenoso marrom, topo de chapada",US
132,"10 km E de Tziscao, sobre el camino a Santa Elena, en el Parque Nacional Lagos de Montebello",PI
133,10 Km N da Sede do Parque Nacional do Araguaia,PI
134,"10 Km south of center of city of sao Paulo, in grounds of the Instituto de Botanica, Parque do Estado",PI
135,10 km towards Chancala on road to Bonampak from the Palenque-Ocosingo road,US
136,10 km Towards Chancala on road to Bonampak from the Palenque-Ocosingo road,US
137,"10 km W of jct. road from Ilheus to Itacare (BA 001) on road from Itacare to BR 101, then 1.6 km S on fazenda road to Reserva Fazenda Capitao. Parque Estadual da Serra do Conduru",PI
138,10 km W of Santo Amaro towards Cochoeira,US
139,"10 km. south of center of city of SA¢o Paulo, in grounds of the Instituto de BotA¢nica, Parque do Estado",PI
140,"10.41330s,-47.108889w. Estrada entre Mateiros e Ponte Alta do Tocantins. Estacao Ecologica Serra Geral do Tocantins. Descida da serra.",PI
141,10.54190s.-46;4358w. Arredores do Parque Estadual do Jalapao,PI
142,"10km south of center of city of Sao Paulo, in grounds of the Instituto de Botanica, Parque do Estado",PI
143,"10km SW de Jundiai, Serra do Japi",US
144,"11,2 km W of BR 101 on road from Aureliano Leal towards Laje do Banco.",US
145,"11,2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco.",US
146,11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco,US
147,11.2 KM W OF BR 101 ON ROAD FROM AURELINO LEAL TOWARDS LAJE DO BANCO,US
148,11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco. Disturbed Southern Bahian Wet Forest on rocky slope,US
149,"11.4 km N of Tuxtla Gutierrez, Parque Nacional Canon del Sumidero",PI
150,"11.4 Km N of Tuxtla Gutierrez, Parque Nacional Canon del Sumidero",PI
151,"12 KM AL E DE TZISCAO, SOBRE EL CAMINO A SANTA ELENA EN EL PARQUE PARQUE NACIONAL LAGOS DE MONTE BELLO",PI
152,"12 km al E Tziscao, sobre el camino a Santa Elena, en el Parque Nacional Lagos de Monte Bello",PI
153,12 km antes da Estacao Ecologica-pasto,PI
