"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"JM",NA,NA,"Native","Extant","Resident","sp17"
"MXT-CI",NA,NA,"Native","Extant","Resident","sp17"
"JM",NA,NA,"Native","Extant","Resident","sp17"
"BR",NA,NA,"Native","Extant","Resident","sp17"
"BZE-AL",NA,NA,"Native","Extant","Resident","sp17"
"AGW-CA",NA,NA,"Native","Extant","Resident","sp17"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp18"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"VE",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"BO",NA,NA,"Native","Extant","Resident","sp18"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp18"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp18"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp18"
"BZN-AC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"CO",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"EC",NA,NA,"Native","Extant","Resident","sp18"
"VE",NA,NA,"Native","Extant","Resident","sp18"
"PE",NA,NA,"Native","Extant","Resident","sp18"
"BO",NA,NA,"Native","Extant","Resident","sp18"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp18"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp18"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp18"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp19"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp19"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp19"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"GF",NA,NA,"Native","Extant","Resident","sp19"
"SR",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"VE",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"MXT-CI",NA,NA,"Native","Extant","Resident","sp19"
"MXT-TB",NA,NA,"Native","Extant","Resident","sp19"
"MXE-TA",NA,NA,"Native","Extant","Resident","sp19"
"CR",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"MXC-PU",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CR",NA,NA,"Native","Extant","Resident","sp19"
"BO",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"EC",NA,NA,"Native","Extant","Resident","sp19"
"MXT-QR",NA,NA,"Native","Extant","Resident","sp19"
"MXT-YU",NA,NA,"Native","Extant","Resident","sp19"
"MXS-JA",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"MXE-SL",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"VE",NA,NA,"Native","Extant","Resident","sp19"
"BZN-AC",NA,NA,"Native","Extant","Resident","sp19"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp19"
"BZC-DF",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"BO",NA,NA,"Native","Extant","Resident","sp19"
"BZC-MT",NA,NA,"Native","Extant","Resident","sp19"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp19"
"BZC-MS",NA,NA,"Native","Extant","Resident","sp19"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp19"
"MXG-VC",NA,NA,"Native","Extant","Resident","sp19"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
"PE",NA,NA,"Native","Extant","Resident","sp19"
"CO",NA,NA,"Native","Extant","Resident","sp19"
