Binomial	Presence	Origin	Seasonal	Compiler	Year	Citation	Dec_Lat	Dec_Long	SpatialRef	BasisOfRec	Event_Year	Source	Dist_comm	Island	Subspecies	Subpop	Tax_comm	Data_Sens	Sens_Comm	ID_No	collectID	recordNo	recordedBy	day	month	countryCode	locality	minElev	maxElev	verbaElev	verbatLat	verbatLong	verbatCoord	verbatSRS	coordUncert	georefVeri	georefVeri	identCert	typeStatus	subgenus	obsYrQual	obsCompNot	adminError	adminFixed	adminSrcFix	adminChang	id
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-15.27849434'	'-44.90956205'	WGS84	PreservedSpecimen	2009	Menino, G.C.O. ; Coutinho,C.A. ; Fonseca, J.M.L. ; Oliveira, I,S, ; Silva, W.A. ; Souza,S.R. ;	Minas Gerais Bonito de Minas APA do Rio Pandeiros-Ilha 005					N	N		MCMG1517		Menino, G.C.O. ; Coutinho,C.A. ; Fonseca, J.M.L. ; Oliveira, I,S, ; Silva, W.A. ; Souza,S.R. ;	27	10	BRA	Minas Gerais Bonito de Minas APA do Rio Pandeiros-Ilha 005														1	GC					urn:occurrence:d28db55e-ea93-4b59-b533-fa94a8372731
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.136444'	'-42.385982'	WGS84	PreservedSpecimen	1992	A. M. V. de Carvalho 3762	Bahia Caetité Ca. 14 km na estrada de Caetité para Brumado.					N	N		NYBG437847	3762	A. M. V. de Carvalho	19	2	BRA	Bahia Caetité Ca. 14 km na estrada de Caetité para Brumado.														1	GC					urn:occurrence:a55aa737-5b1a-4877-bd79-0e9334d6557a
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-10.781472'	'-42.233978'	WGS84	PreservedSpecimen	1980	Grupo Flora - Pedra do Cavalo;	Bahia Itaguaçu da Bahia Cachoeira.					N	N		RB00297673		Grupo Flora - Pedra do Cavalo;	28	12	BRA	Bahia Itaguaçu da Bahia Cachoeira.														1	GC					urn:occurrence:4aabcb55-b803-464b-8cd8-4d0b46e1f66a
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.1456'	'-40.2425'	WGS84	PreservedSpecimen	1978	S. A. Mori 11248	Bahia Manoel Vitorino Estrada que liga Manoel Vitorino à Catingal, 1-5 km a W da 101					N	N		NYBG50767	11248	S. A. Mori	20	11	BRA	Bahia Manoel Vitorino Estrada que liga Manoel Vitorino à Catingal, 1-5 km a W da 101														1	GC					urn:occurrence:54300d4b-ee90-49f5-a018-3f3c40fb98c6
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.5978'	'-41.7561'	WGS84	PreservedSpecimen	2004	R. M. Harley 55196	Bahia Rio de Contas Na beira da estrada entre a cidade e Marcolino Moura.					N	N		NYBG887091	55196	R. M. Harley	1	11	BRA	Bahia Rio de Contas Na beira da estrada entre a cidade e Marcolino Moura.														1	GC					urn:occurrence:6810b89d-f5c0-4783-a8dc-2970204b7080
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.243611'	'-40.571389'	WGS84	PreservedSpecimen	2011	Melo, E. 10595	Bahia Maracás Estrada para Marcionílio Souza, ca. 12,6 km da cidade.					N	N		HUEFS178134	10595	Melo, E.	3	11	BRA	Bahia Maracás Estrada para Marcionílio Souza, ca. 12,6 km da cidade.														1	GC					urn:occurrence:327a71ce-ac84-42a3-b63c-ff6cf65112b1
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-15.70896181'	'-42.55136372'	WGS84	PreservedSpecimen	1988	Equipe Engevix P346	Minas Gerais Rio Pardo de Minas Catanduva, Taiobeiras					N	N		NYBG1030686	P346	Equipe Engevix	3	12	BRA	Minas Gerais Rio Pardo de Minas Catanduva, Taiobeiras														1	GC					urn:occurrence:20675c7f-9d45-43b4-9ef4-3b60a32c0ce8
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.314261'	'-36.899916'	WGS84	PreservedSpecimen	2010	Chagas-Mota; 7397	Alagoas Minador do Negrão Fazenda Pedra Talhada.					N	N		MAC0045893	7397	Chagas-Mota;	30	1	BRA	Alagoas Minador do Negrão Fazenda Pedra Talhada.														1	GC					urn:occurrence:eb48c5f4-1bd6-4059-91e7-ddf1eac55a5b
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.6'	'-41.75'	WGS84	PreservedSpecimen	2005	Harley, R.M.; 55434	Bahia Rio de Contas 7,9 Km Marcolino Moura, e 2,3 Km da Fazenda Teixeira, em direção de Rio de Contas. Trilha do vale do Rio Baeta.					N	N		HUEFS111477	55434	Harley, R.M.;	23	1	BRA	Bahia Rio de Contas 7,9 Km Marcolino Moura, e 2,3 Km da Fazenda Teixeira, em direção de Rio de Contas. Trilha do vale do Rio Baeta.														1	GC					urn:occurrence:6b7c81b0-20db-4605-bc28-a101b6476371
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.869167'	'-39.825833'	WGS84	PreservedSpecimen	1997	França, F. 2163	Bahia Milagres Morro Pé da Serra.					N	N		HUEFS26619	2163	França, F.	16	3	BRA	Bahia Milagres Morro Pé da Serra.														1	GC					urn:occurrence:852ba6aa-dc16-4748-8c42-f3a4a86758a2
